county,speed_source,pollutantID_2,pollutantID_3,pollutantID_87,pollutantID_100,pollutantID_110
Alcona,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Alcona,NPMRDS_count,-13.75%,-11.07%,-14.84%,-10.91%,-10.93%
Alcona,NPMRDS_vht,-13.75%,-11.02%,-14.82%,-10.86%,-10.88%
Alcona,INRIX_XD,-12.05%,-7.55%,-10.63%,-6.85%,-6.84%
Alcona,INRIX_XD_FRC_1_4,-12.23%,-8.81%,-12.11%,-8.37%,-8.37%
Alger,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Alger,NPMRDS_count,-5.16%,-5.43%,-10.97%,-6.34%,-6.35%
Alger,NPMRDS_vht,-5.11%,-3.97%,-9.25%,-4.58%,-4.58%
Alger,INRIX_XD,-8.71%,-4.91%,-6.83%,-4.59%,-4.58%
Alger,INRIX_XD_FRC_1_4,-9.76%,-6.86%,-9.07%,-6.51%,-6.51%
Allegan,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Allegan,NPMRDS_count,12.81%,-1.92%,-12.01%,-3.61%,-3.70%
Allegan,NPMRDS_vht,13.38%,-2.21%,-12.42%,-3.97%,-4.07%
Allegan,INRIX_XD,-2.49%,2.78%,-2.81%,2.13%,2.16%
Allegan,INRIX_XD_FRC_1_4,-2.99%,1.39%,-5.15%,0.63%,0.65%
Alpena,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Alpena,NPMRDS_count,-13.09%,-7.85%,-17.15%,-9.52%,-9.52%
Alpena,NPMRDS_vht,-12.67%,-7.69%,-16.57%,-9.23%,-9.22%
Alpena,INRIX_XD,-8.89%,-5.65%,-8.14%,-5.32%,-5.32%
Alpena,INRIX_XD_FRC_1_4,-10.12%,-6.95%,-9.94%,-6.53%,-6.53%
Antrim,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Antrim,NPMRDS_count,-10.80%,-3.76%,-6.01%,-2.24%,-2.19%
Antrim,NPMRDS_vht,-10.21%,-2.46%,-4.40%,-0.82%,-0.76%
